<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	00:00:00	1.44630	1.44650	1.44500	1.44510	32	0	50
2000.01.03	03:00:00	1.44450	1.44590	1.44450	1.44510	54	0	50
2000.01.03	06:00:00	1.44520	1.44850	1.44500	1.44660	171	0	50
2000.01.03	09:00:00	1.44670	1.44750	1.44380	1.44400	489	0	50
2000.01.03	12:00:00	1.44440	1.44570	1.44070	1.44150	608	0	50
2000.01.03	15:00:00	1.44180	1.44710	1.44120	1.44630	588	0	50
2000.01.03	18:00:00	1.44640	1.44790	1.44550	1.44570	317	0	50
2000.01.03	21:00:00	1.44550	1.44830	1.44510	1.44740	168	0	50
2000.01.04	00:00:00	1.44750	1.44800	1.44690	1.44720	73	0	50
2000.01.04	03:00:00	1.44710	1.44750	1.44670	1.44720	41	0	50
2000.01.04	06:00:00	1.44730	1.44820	1.44620	1.44730	226	0	50
2000.01.04	09:00:00	1.44730	1.44770	1.44380	1.44620	573	0	50
2000.01.04	12:00:00	1.44590	1.44970	1.44540	1.44830	743	0	50
2000.01.04	15:00:00	1.44820	1.45170	1.44740	1.45070	776	0	50
2000.01.04	18:00:00	1.45170	1.45360	1.45090	1.45200	402	0	50
2000.01.04	21:00:00	1.45170	1.45360	1.45150	1.45280	194	0	50
2000.01.05	00:00:00	1.45340	1.45370	1.45180	1.45340	133	0	50
2000.01.05	03:00:00	1.45340	1.45390	1.45220	1.45310	95	0	50
2000.01.05	06:00:00	1.45320	1.45490	1.45240	1.45450	377	0	50
2000.01.05	09:00:00	1.45470	1.45610	1.44980	1.45030	871	0	50
2000.01.05	12:00:00	1.45070	1.45320	1.44980	1.45080	660	0	50
2000.01.05	15:00:00	1.45130	1.45450	1.45060	1.45160	690	0	50
2000.01.05	18:00:00	1.45130	1.45260	1.44840	1.44850	360	0	50
2000.01.05	21:00:00	1.44870	1.45040	1.44830	1.44950	201	0	50
2000.01.06	00:00:00	1.44970	1.45070	1.44930	1.45030	114	0	50
2000.01.06	03:00:00	1.45040	1.45060	1.44920	1.45060	106	0	50
2000.01.06	06:00:00	1.45070	1.45200	1.45020	1.45140	248	0	50
2000.01.06	09:00:00	1.45160	1.45460	1.45120	1.45330	800	0	50
2000.01.06	12:00:00	1.45300	1.45570	1.45270	1.45440	800	0	50
2000.01.06	15:00:00	1.45480	1.45880	1.45370	1.45710	812	0	50
2000.01.06	18:00:00	1.45710	1.45970	1.45670	1.45920	487	0	50
2000.01.06	21:00:00	1.45950	1.46070	1.45820	1.46030	201	0	50
2000.01.07	00:00:00	1.46030	1.46110	1.45950	1.46070	64	0	50
2000.01.07	03:00:00	1.46030	1.46060	1.45850	1.45950	116	0	50
2000.01.07	06:00:00	1.45930	1.46100	1.45860	1.45940	318	0	50
2000.01.07	09:00:00	1.45970	1.46130	1.45860	1.46030	415	0	50
2000.01.07	12:00:00	1.46070	1.46150	1.45800	1.46090	655	0	50
2000.01.07	15:00:00	1.46070	1.46170	1.45650	1.45940	467	0	50
2000.01.07	18:00:00	1.45950	1.46130	1.45560	1.45570	543	0	50
2000.01.07	21:00:00	1.45590	1.45680	1.45570	1.45610	116	0	50
2000.01.10	00:00:00	1.45640	1.45680	1.45550	1.45660	52	0	50
2000.01.10	03:00:00	1.45640	1.45770	1.45640	1.45750	90	0	50
2000.01.10	06:00:00	1.45730	1.45880	1.45660	1.45800	302	0	50
2000.01.10	09:00:00	1.45840	1.45850	1.45300	1.45410	792	0	50
2000.01.10	12:00:00	1.45430	1.45580	1.45300	1.45420	702	0	50
2000.01.10	15:00:00	1.45430	1.45650	1.45340	1.45600	601	0	50
2000.01.10	18:00:00	1.45640	1.45690	1.45480	1.45480	282	0	50
2000.01.10	21:00:00	1.45500	1.45660	1.45490	1.45540	149	0	50
2000.01.11	00:00:00	1.45530	1.45710	1.45450	1.45570	175	0	50
2000.01.11	03:00:00	1.45560	1.45640	1.45520	1.45550	82	0	50
2000.01.11	06:00:00	1.45560	1.45650	1.45440	1.45570	336	0	50
2000.01.11	09:00:00	1.45570	1.45680	1.45440	1.45580	481	0	50
2000.01.11	12:00:00	1.45630	1.45930	1.45570	1.45710	869	0	50
2000.01.11	15:00:00	1.45690	1.45840	1.45520	1.45720	779	0	50
2000.01.11	18:00:00	1.45700	1.45750	1.45540	1.45580	340	0	50
2000.01.11	21:00:00	1.45570	1.45790	1.45570	1.45640	241	0	50
2000.01.12	00:00:00	1.45650	1.45780	1.45620	1.45680	108	0	50
2000.01.12	03:00:00	1.45700	1.45700	1.45630	1.45660	48	0	50
2000.01.12	06:00:00	1.45650	1.45730	1.45600	1.45720	333	0	50
2000.01.12	09:00:00	1.45690	1.45730	1.45420	1.45650	764	0	50
2000.01.12	12:00:00	1.45630	1.45790	1.45520	1.45550	902	0	50
2000.01.12	15:00:00	1.45520	1.45670	1.45480	1.45520	624	0	50
2000.01.12	18:00:00	1.45490	1.45540	1.45140	1.45330	497	0	50
2000.01.12	21:00:00	1.45380	1.45460	1.45330	1.45440	194	0	50
2000.01.13	00:00:00	1.45430	1.45440	1.45290	1.45320	111	0	50
2000.01.13	03:00:00	1.45310	1.45380	1.45280	1.45290	83	0	50
2000.01.13	06:00:00	1.45280	1.45380	1.45200	1.45200	305	0	50
2000.01.13	09:00:00	1.45280	1.45370	1.45100	1.45200	620	0	50
2000.01.13	12:00:00	1.45240	1.45270	1.44930	1.45050	812	0	50
2000.01.13	15:00:00	1.45060	1.45090	1.44840	1.44920	641	0	50
2000.01.13	18:00:00	1.44950	1.45110	1.44880	1.44990	210	0	50
2000.01.13	21:00:00	1.44970	1.45170	1.44970	1.45070	120	0	50
2000.01.14	00:00:00	1.45080	1.45200	1.44980	1.45070	67	0	50
