DATE,sprtrn,spindx
1/29/2016,-0.050735,1940.24
2/29/2016,-0.004128,1932.23
3/31/2016,0.065991,2059.74
4/29/2016,0.002699,2065.3
5/31/2016,0.015329,2096.96
6/30/2016,0.000906,2098.86
7/29/2016,0.03561,2173.6
8/31/2016,-0.001219,2170.95
9/30/2016,-0.001234,2168.27
10/31/2016,-0.019426,2126.15
11/30/2016,0.034174,2198.81
12/30/2016,0.018201,2238.83
1/31/2017,0.017884,2278.87
2/28/2017,0.037198,2363.64
3/31/2017,-0.000389,2362.72
4/28/2017,0.009091,2384.2
5/31/2017,0.011576,2411.8
6/30/2017,0.004814,2423.41
7/31/2017,0.019349,2470.3
8/31/2017,0.000546,2471.65
9/29/2017,0.019303,2519.36
10/31/2017,0.022188,2575.26
11/30/2017,0.028083,2647.58
12/29/2017,0.009832,2673.61
1/31/2018,0.056179,2823.81
2/28/2018,-0.038947,2713.83
3/29/2018,-0.026885,2640.87
4/30/2018,0.002719,2648.05
5/31/2018,0.021608,2705.27
6/29/2018,0.004842,2718.37
7/31/2018,0.036022,2816.29
8/31/2018,0.030263,2901.52
9/28/2018,0.004294,2913.98
10/31/2018,-0.069403,2711.74
11/30/2018,0.017859,2760.17
12/31/2018,-0.091777,2506.85
1/31/2019,0.078684,2704.1
2/28/2019,0.029729,2784.49
3/29/2019,0.017924,2834.4
4/30/2019,0.039313,2945.83
5/31/2019,-0.065778,2752.06
6/28/2019,0.06893,2941.76
7/31/2019,0.013128,2980.38
8/30/2019,-0.018092,2926.46
9/30/2019,0.017181,2976.74
10/31/2019,0.020432,3037.56
11/29/2019,0.034047,3140.98
12/31/2019,0.02859,3230.78
1/31/2020,-0.001628,3225.52
2/28/2020,-0.08411,2954.22
3/31/2020,-0.125119,2584.59
4/30/2020,0.126844,2912.43
5/29/2020,0.045282,3044.31
6/30/2020,0.018388,3100.29
7/31/2020,0.055101,3271.12
8/31/2020,0.070065,3500.31
9/30/2020,-0.039228,3363
10/30/2020,-0.027666,3269.96
11/30/2020,0.107546,3621.63
12/31/2020,0.037121,3756.07
1/29/2021,-0.011137,3714.24
2/26/2021,0.026091,3811.15
3/31/2021,0.042439,3972.89
4/30/2021,0.052425,4181.17
5/28/2021,0.005487,4204.11
6/30/2021,0.022214,4297.5
7/30/2021,0.022748,4395.26
8/31/2021,0.02899,4522.68
9/30/2021,-0.047569,4307.54
10/29/2021,0.069144,4605.38
11/30/2021,-0.008334,4567
12/31/2021,0.043613,4766.18
1/31/2022,-0.052585,4515.55
2/28/2022,-0.031361,4373.94
3/31/2022,0.035773,4530.41
4/1/2022,0.003410257,4545.859863
4/4/2022,0.008090939,4582.640137
4/5/2022,-0.012551721,4525.120117
4/6/2022,-0.009716917,4481.149902
4/7/2022,0.004253386,4500.209961
4/8/2022,-0.002651026,4488.279785
4/11/2022,-0.01687729,4412.529785
4/12/2022,-0.003417448,4397.450195
4/13/2022,0.011174578,4446.589844
4/14/2022,-0.012144138,4392.589844
4/18/2022,-0.000204868,4391.689941
4/19/2022,0.016057604,4462.209961
4/20/2022,-0.000618475,4459.450195
4/21/2022,-0.014752948,4393.660156
4/22/2022,-0.027740054,4271.779785
4/25/2022,0.005697937,4296.120117
4/26/2022,-0.028146308,4175.200195
4/27/2022,0.002098047,4183.959961
4/28/2022,0.0247469,4287.5
4/29/2022,-0.036284507,4131.930176
5/2/2022,0.005675243,4155.379883
5/3/2022,0.004837126,4175.47998
5/4/2022,0.029862421,4300.169922
5/5/2022,-0.035649709,4146.870117
5/6/2022,-0.005674225,4123.339844
5/9/2022,-0.032037101,3991.23999
5/10/2022,0.002457897,4001.050049
5/11/2022,-0.016463208,3935.179932
5/12/2022,-0.001295965,3930.080078
5/13/2022,0.023869695,4023.889893
5/16/2022,-0.003946401,4008.01001
5/17/2022,0.020169632,4088.850098
5/18/2022,-0.040395261,3923.679932
5/19/2022,-0.005833782,3900.790039
5/20/2022,0.000146142,3901.360107
5/23/2022,0.01855504,3973.75
5/24/2022,-0.008120798,3941.47998
5/25/2022,0.009450765,3978.72998
5/26/2022,0.019883256,4057.840088
5/27/2022,0.024742263,4158.240234
5/31/2022,-0.006274369,4132.149902
6/1/2022,-0.007482769,4101.22998
6/2/2022,0.018431018,4176.819824
6/3/2022,-0.016347314,4108.540039
6/6/2022,0.003137401,4121.430176
6/7/2022,0.009523393,4160.680176
6/8/2022,-0.010793946,4115.77002
6/9/2022,-0.023798694,4017.820068
6/10/2022,-0.029110303,3900.860107
6/13/2022,-0.038768431,3749.629883
6/14/2022,-0.00377368,3735.47998
6/15/2022,0.014592505,3789.98999
6/16/2022,-0.032511951,3666.77002
6/17/2022,0.002200866,3674.840088
6/21/2022,0.024477242,3764.790039
6/22/2022,-0.001301572,3759.889893
6/23/2022,0.009532217,3795.72998
6/24/2022,0.030563294,3911.73999
6/27/2022,-0.002973072,3900.110107
