Date,sprtrn,abs_sprtrn,spindx,GEX,vix,vixo,vixh,vixl
5/2/2011,-0.001753,0.001753,1361.22,1897312571,15.99,15.07,16.13,15.07
5/3/2011,-0.003379,0.003379,1356.62,1859730656,16.7,16.35,17.29,16.13
5/4/2011,-0.006855,0.006855,1347.32,1717763845,17.08,16.84,17.72,16.83
5/5/2011,-0.00907,0.00907,1335.1,1361864280,18.2,17.68,19.11,16.74
5/6/2011,0.00382,0.00382,1340.2,1490328626,18.4,17.17,19.29,16.12
5/9/2011,0.004544,0.004544,1346.29,1677058729,17.16,18.59,18.59,17.04
5/10/2011,0.008074,0.008074,1357.16,2034952131,15.91,16.84,16.9,15.79
5/11/2011,-0.011111,0.011111,1342.08,1536770885,16.95,16.27,17.49,16.23
5/12/2011,0.004895,0.004895,1348.65,1674923266,16.03,17.27,17.89,16.03
5/13/2011,-0.008067,0.008067,1337.77,1218149462,17.07,16.02,17.56,15.98
5/16/2011,-0.006204,0.006204,1329.47,779596412.3,18.24,17.86,18.25,16.61
5/17/2011,-0.000369,0.000369,1328.98,841850592,17.55,18.54,19.09,17.47
5/18/2011,0.008804,0.008804,1340.68,1366160182,16.23,17.56,17.68,16.03
5/19/2011,0.002178,0.002178,1343.6,1543685365,15.52,15.9,16.56,15.5
5/20/2011,-0.007688,0.007688,1333.27,1288076424,17.43,15.88,17.43,15.7
5/23/2011,-0.011926,0.011926,1317.37,539696742.8,18.27,20.03,20.03,17.47
5/24/2011,-0.000827,0.000827,1316.28,510244377.5,17.82,18.07,18.19,17
5/25/2011,0.003183,0.003183,1320.47,740695062.9,17.07,18.26,18.26,16.7
5/26/2011,0.003953,0.003953,1325.69,794680724.9,16.09,17.17,17.46,15.9
5/27/2011,0.004081,0.004081,1331.1,918664965.2,15.98,16.11,16.27,15.36
5/31/2011,0.010593,0.010593,1345.2,1501018827,15.45,15.85,16.5,15.15
6/1/2011,-0.022785,0.022785,1314.55,765472910.7,18.3,15.95,18.48,15.95
6/2/2011,-0.001225,0.001225,1312.94,737054457.1,18.09,17.92,18.72,17.39
6/3/2011,-0.009734,0.009734,1300.16,405956517.9,17.95,18.23,19.87,17.12
6/6/2011,-0.01076,0.01076,1286.17,24119666.1,18.49,18.42,18.65,17.65
6/7/2011,-0.000956,0.000956,1284.94,-172403089.1,18.07,18.13,18.48,17.39
6/8/2011,-0.004187,0.004187,1279.56,-285916518,18.79,18.15,18.83,17.72
6/9/2011,0.007378,0.007378,1289,-110999211.3,17.77,18.2,18.31,17.26
6/10/2011,-0.01398,0.01398,1270.98,-459227978.2,18.86,17.93,19.16,17.93
6/13/2011,0.000669,0.000669,1271.83,-449818392.3,19.61,19.1,20.02,18.41
6/14/2011,0.012612,0.012612,1287.87,97844618.18,18.26,18.56,18.56,17.8
6/15/2011,-0.017432,0.017432,1265.42,-618829105.2,21.32,19.31,21.66,19.03
6/16/2011,0.001754,0.001754,1267.64,-643026779.9,22.73,21.37,24.65,20.81
6/17/2011,0.003045,0.003045,1271.5,-444255510.6,21.85,21.56,22.39,20.35
6/20/2011,0.005395,0.005395,1278.36,130641736.1,19.99,22.99,23.08,19.99
6/21/2011,0.013423,0.013423,1295.52,594237200.5,18.86,19.46,19.46,17.72
6/22/2011,-0.006468,0.006468,1287.14,421966023.2,18.52,18.86,18.9,17.72
6/23/2011,-0.002828,0.002828,1283.5,673524372.9,19.29,20.23,21.5,19.22
6/24/2011,-0.011726,0.011726,1268.45,197912878.2,21.1,19.2,21.28,19.1
6/27/2011,0.009184,0.009184,1280.1,533994908.8,20.56,21.6,21.82,20.27
6/28/2011,0.012944,0.012944,1296.67,1000303670,19.17,20.3,20.45,19.17
6/29/2011,0.008283,0.008283,1307.41,1263240917,17.27,18.62,18.83,16.32
6/30/2011,0.010119,0.010119,1320.64,1731119950,16.52,16.67,16.77,15.88
7/1/2011,0.01441,0.01441,1339.67,2019895207,15.87,16.06,16.29,15.12
7/5/2011,-0.001336,0.001336,1337.88,2204693723,16.06,16.32,16.5,15.89
7/6/2011,0.001002,0.001002,1339.22,2236776777,16.34,16.46,17.08,16.32
7/7/2011,0.010454,0.010454,1353.22,2729301387,15.95,15.3,16.13,15.3
7/8/2011,-0.006961,0.006961,1343.8,2490173790,15.95,17.14,17.14,15.95
7/11/2011,-0.01809,0.01809,1319.49,1737340523,18.39,17.44,19.06,17.16
7/12/2011,-0.004434,0.004434,1313.64,1533836324,19.87,19.55,20.13,18.25
7/13/2011,0.003106,0.003106,1317.72,1957650369,19.91,19.08,20.16,18.09
7/14/2011,-0.006716,0.006716,1308.87,1650214263,20.8,20.08,21.58,19.35
7/15/2011,0.005554,0.005554,1316.14,4176336442,19.53,20.25,21.68,19.52
7/18/2011,-0.00813,0.00813,1305.44,887183380,20.95,21.25,21.93,20.9
7/19/2011,0.016309,0.016309,1326.73,1304589933,19.21,20.14,20.43,19.12
7/20/2011,-0.000671,0.000671,1325.84,1549113896,19.09,18.81,19.65,18.61
7/21/2011,0.013546,0.013546,1343.8,1763114024,17.56,18.61,18.63,17.15
7/22/2011,0.000908,0.000908,1345.02,1635847484,17.52,17.22,17.95,17.14
7/25/2011,-0.005643,0.005643,1337.43,1594831932,19.35,19.26,19.5,18.73
7/26/2011,-0.004105,0.004105,1331.94,1541061095,20.23,19.75,20.5,19.56
7/27/2011,-0.020309,0.020309,1304.89,839162001.8,22.98,20.87,23.2,20.87
7/28/2011,-0.003234,0.003234,1300.67,727984032.6,23.74,22.83,23.99,21.2
7/29/2011,-0.006451,0.006451,1292.28,634859901,25.25,25.28,25.94,23.65
8/1/2011,-0.004132,0.004132,1286.94,645133919.4,23.66,22.63,25.63,22.46
8/2/2011,-0.025557,0.025557,1254.05,54369376.39,24.79,24.22,24.79,22.65
8/3/2011,0.005016,0.005016,1260.34,224930307.5,23.38,23.58,25.23,22.76
8/4/2011,-0.04782,0.04782,1200.07,-660360325.5,31.66,24.57,32.07,24.31
8/5/2011,-0.000575,0.000575,1199.38,-463212353.1,32,28.48,39.25,27.54
8/8/2011,-0.066634,0.066634,1119.46,-802754541.1,48,36.9,48,35.29
8/9/2011,0.047407,0.047407,1172.53,-374593398,35.06,42.12,47.56,34.28
8/10/2011,-0.044152,0.044152,1120.76,-759558784.7,42.99,39.33,44.41,37.34
8/11/2011,0.04629,0.04629,1172.64,-264886917.5,39,41.94,42.88,37.5
8/12/2011,0.005262,0.005262,1178.81,-309018593.5,36.36,37.08,37.85,34.01
8/15/2011,0.021785,0.021785,1204.49,-23047118.8,31.87,34.73,34.83,31.47
8/16/2011,-0.009739,0.009739,1192.76,-225224022.6,32.85,33.36,34.49,31.68
8/17/2011,0.000947,0.000947,1193.89,-251705740.2,31.58,32.09,33.32,30.81
8/18/2011,-0.044594,0.044594,1140.65,-836496736.5,42.67,36.77,45.28,36.69
8/19/2011,-0.015009,0.015009,1123.53,-1187036923,43.05,45.34,45.4,39.99
8/22/2011,0.000258,0.000258,1123.82,-361898319.4,42.44,38.8,43.58,38.78
8/23/2011,0.034285,0.034285,1162.35,54580971.03,36.27,41.89,42.33,35.83
8/24/2011,0.01312,0.01312,1177.6,205415735.9,35.9,37.12,37.38,34.55
8/25/2011,-0.015566,0.015566,1159.27,2799983.66,39.76,34.43,40.14,34.05
8/26/2011,0.015122,0.015122,1176.8,137694130.1,35.59,41.18,43.84,34.33
8/29/2011,0.02828,0.02828,1210.08,561222253.1,32.28,33.81,33.81,32.21
8/30/2011,0.002347,0.002347,1212.92,635378251.4,32.89,32.97,33.55,31.55
8/31/2011,0.004922,0.004922,1218.89,605715448.2,31.62,31.2,32.53,30.16
9/1/2011,-0.011871,0.011871,1204.42,320553022,31.82,31.91,32.38,30.76
9/2/2011,-0.025282,0.025282,1173.97,-15399260.06,33.92,34.29,34.74,32.7
9/6/2011,-0.007436,0.007436,1165.24,-974825.71,37,39.84,39.86,37
9/7/2011,0.028646,0.028646,1198.62,424298106.1,33.38,34.24,34.7,33.38
9/8/2011,-0.010612,0.010612,1185.9,294110268,34.32,34.41,34.71,32.79
9/9/2011,-0.026705,0.026705,1154.23,-164918292.2,38.52,35.53,40.74,35.53
9/12/2011,0.006966,0.006966,1162.27,-55401539.5,38.59,42.56,43.18,38.58
9/13/2011,0.00912,0.00912,1172.87,180810962.2,36.91,38.68,39.43,36.69
9/14/2011,0.01348,0.01348,1188.68,516499239.9,34.6,36.59,37.76,33.4
9/15/2011,0.017187,0.017187,1209.11,924224780.5,31.97,33.43,33.98,31.75
9/16/2011,0.005707,0.005707,1216.01,1627867630,30.98,31.81,32.48,30.43
9/19/2011,-0.009803,0.009803,1204.09,819791724.4,32.73,34.8,35.33,32.35
9/20/2011,-0.001661,0.001661,1202.09,864559001.3,32.86,32.42,33.14,31.45
9/21/2011,-0.02939,0.02939,1166.76,480322758.3,37.32,33,37.32,32.45
9/22/2011,-0.031883,0.031883,1129.56,42688858.26,41.35,41,43.87,39.33
9/23/2011,0.006082,0.006082,1136.43,246153269.1,41.25,42.17,42.82,40.42
9/26/2011,0.023336,0.023336,1162.95,415707524.8,39.02,40.99,43.34,39.02
9/27/2011,0.010688,0.010688,1175.38,506709646.2,37.71,36.59,38.57,35.32
9/28/2011,-0.020691,0.020691,1151.06,303390928.7,41.08,37.7,41.24,36.65
9/29/2011,0.008114,0.008114,1160.4,253516385.7,38.84,38.62,42,38.03
9/30/2011,-0.024974,0.024974,1131.42,11640191.37,42.96,40.93,42.99,39.88
10/3/2011,-0.028451,0.028451,1099.23,-220425308.1,45.45,44.25,45.55,41.51
10/4/2011,0.022488,0.022488,1123.95,-85366095.48,40.82,46.18,46.88,40.02
10/5/2011,0.017866,0.017866,1144.03,168193569.3,37.81,40.73,41.2,37.51
10/6/2011,0.018304,0.018304,1164.97,401723210.3,36.27,38.24,38.74,36.15
10/7/2011,-0.008163,0.008163,1155.46,219498636.1,36.2,35.67,37.82,35.19
10/10/2011,0.034125,0.034125,1194.89,931951102.5,33.02,35.45,35.45,32.96
10/11/2011,0.000544,0.000544,1195.54,1128800514,32.86,33.95,34.24,32.62
10/12/2011,0.009795,0.009795,1207.25,1326485542,31.26,31.57,31.93,29.79
10/13/2011,-0.002974,0.002974,1203.66,1378016376,30.7,31.99,32.76,30.48
10/14/2011,0.01738,0.01738,1224.58,1783365971,28.24,29.07,29.96,28.08
10/17/2011,-0.01937,0.01937,1200.86,1329837843,33.39,30.35,33.39,30.12
10/18/2011,0.020419,0.020419,1225.38,1784730872,31.56,33.37,34.71,29.69
10/19/2011,-0.012649,0.012649,1209.88,1070550490,34.44,32.92,35.47,31.91
10/20/2011,0.004554,0.004554,1215.39,1012832468,34.78,34.44,36.87,34.16
10/21/2011,0.018809,0.018809,1238.25,2347473743,31.32,32.76,32.98,31.32
10/24/2011,0.012873,0.012873,1254.19,1158879374,29.26,31.67,31.7,28.84
10/25/2011,-0.020045,0.020045,1229.05,799720648.2,32.22,30.68,32.46,30.32
10/26/2011,0.010537,0.010537,1242,1009327345,29.86,30.44,33.3,29.63
10/27/2011,0.034291,0.034291,1284.59,1688101729,25.46,24.72,26.46,24.7
10/28/2011,0.000389,0.000389,1285.09,1581690426,24.53,26.02,26.02,24.44
10/31/2011,-0.024738,0.024738,1253.3,1171656477,29.96,27.09,29.97,27.01
11/1/2011,-0.027942,0.027942,1218.28,562856339.8,34.77,36.03,37.53,33.87
11/2/2011,0.016105,0.016105,1237.9,851141787.8,32.74,33.53,34.27,32.55
11/3/2011,0.018782,0.018782,1261.15,1438676102,30.5,31.38,34.65,30.21
11/4/2011,-0.00628,0.00628,1253.23,1145431786,30.16,31.46,32.56,30.14
11/7/2011,0.006296,0.006296,1261.12,1329564468,29.85,31.4,32.15,29.85
11/8/2011,0.011736,0.011736,1275.92,1807110772,27.48,29.34,30.49,27.47
11/9/2011,-0.036695,0.036695,1229.1,615504956,36.16,31.32,36.43,30.98
11/10/2011,0.008616,0.008616,1239.69,665815678.9,32.81,33.09,35.5,32.12
11/11/2011,0.019489,0.019489,1263.85,1253845090,30.04,29.91,30.42,29.45
11/14/2011,-0.00955,0.00955,1251.78,1051690216,31.13,31.42,32.85,31.13
11/15/2011,0.004817,0.004817,1257.81,1337630468,31.22,31.74,32.55,30.4
11/16/2011,-0.016616,0.016616,1236.91,745624770.7,33.51,32.66,33.51,30.54
11/17/2011,-0.0168,0.0168,1216.13,164520103.5,34.51,33.15,36.46,32.89
11/18/2011,-0.000395,0.000395,1215.65,-948429186.9,32,33.16,33.99,31.92
11/21/2011,-0.018648,0.018648,1192.98,70720556.43,32.91,34.59,35.29,32.53
11/22/2011,-0.004141,0.004141,1188.04,156201703.2,31.97,33.12,33.39,31.28
11/23/2011,-0.022095,0.022095,1161.79,-252170842.5,33.98,32.91,34.57,32.68
11/25/2011,-0.002686,0.002686,1158.67,-206203569.7,34.47,34.61,34.77,33.12
11/28/2011,0.02924,0.02924,1192.55,250687378.9,32.13,31.93,33.11,31.57
11/29/2011,0.002214,0.002214,1195.19,260318977.5,30.64,31.76,32.02,30.56
11/30/2011,0.043315,0.043315,1246.96,1219948970,27.8,27.72,28.5,27.03
12/1/2011,-0.001909,0.001909,1244.58,1310091659,27.41,27.63,27.89,26.64
12/2/2011,-0.000241,0.000241,1244.28,1122010988,27.52,26.26,27.62,25.29
12/5/2011,0.010287,0.010287,1257.08,1407537501,27.84,26.74,28.31,26
12/6/2011,0.001106,0.001106,1258.47,1385127223,28.13,27.91,28.13,27.41
