Date,sprtrn,abs_sprtrn,spindx,vix3m/vix,vix,vixo,vixh,vixl
9/18/2009,0.002637,0.002637,1068.3,1.109531773,23.92,23.65,24.43,23.14
9/21/2009,-0.003407,0.003407,1064.66,1.090191189,24.06,25.34,25.51,23.71
9/22/2009,0.006575,0.006575,1071.66,1.113084922,23.08,23.81,23.98,23.06
9/23/2009,-0.010068,0.010068,1060.87,1.110685398,23.49,22.9,23.69,22.19
9/24/2009,-0.009511,0.009511,1050.78,1.087374749,24.95,23.67,25.37,23.44
9/25/2009,-0.006091,0.006091,1044.38,1.062475595,25.61,25.18,26.34,24.81
9/28/2009,0.01781,0.01781,1062.98,1.055868167,24.88,26.26,26.4,24.85
9/29/2009,-0.00223,0.00223,1060.61,1.051210798,25.19,24.88,25.28,24.54
9/30/2009,-0.003328,0.003328,1057.08,1.04099961,25.61,25.19,26.45,24.76
10/1/2009,-0.02576,0.02576,1029.85,1.002122391,28.27,25.98,28.42,25.98
10/2/2009,-0.004506,0.004506,1025.21,1.0041841,28.68,29.34,29.56,27.98
10/5/2009,0.014875,0.014875,1040.46,1.028688525,26.84,29.34,29.34,26.57
10/6/2009,0.013705,0.013705,1054.72,1.040077821,25.7,26.39,26.41,25.19
10/7/2009,0.002712,0.002712,1057.58,1.05834684,24.68,25.78,25.82,24.57
10/8/2009,0.00747,0.00747,1065.48,1.064516129,24.18,24.68,24.69,23.9
10/9/2009,0.005641,0.005641,1071.49,1.084775087,23.12,24.39,24.54,22.99
10/12/2009,0.004386,0.004386,1076.19,1.093872229,23.01,23.12,23.53,22.67
10/13/2009,-0.002788,0.002788,1073.19,1.091344063,22.99,23,24.07,22.74
10/14/2009,0.017546,0.017546,1092.02,1.075240595,22.86,22.08,22.89,21.55
10/15/2009,0.004157,0.004157,1096.56,1.115101289,21.72,23.51,23.53,21.49
10/16/2009,-0.008098,0.008098,1087.68,1.138590761,21.43,21.72,22.6,20.98
10/19/2009,0.009405,0.009405,1097.91,1.123778502,21.49,21.41,22.46,20.91
10/20/2009,-0.006239,0.006239,1091.06,1.13492823,20.9,21.55,21.76,20.9
